web-scraper-order,dates_times_title_course_number,course_number
1550244877-13033,Time/Location: M W F 1:10 PM-2:00 PM / WRIGHT 002,
1550244877-13034,Time/Location: M W 2:40 PM-4:00 PM / WRIGHT 002,
1550244877-13035,Time/Location: M W F 10:00 AM-10:50 AM / SEELYE 208,
1550244877-13036,Time/Location: T Th 10:30 AM-11:50 AM / BURTON 209,
1550244877-13037,Time/Location: T Th 1:00 PM-2:20 PM / SEELYE 208,
1550244877-13038,Time/Location: M W F 9:00 AM-9:50 AM / SEELYE 206,
1550244877-13039,Time/Location: M W 1:10 PM-2:30 PM / BURTON 101,
1550244877-13040,Time/Location: T Th 1:00 PM-2:20 PM / BURTON 101,
1550244877-13041,Time/Location: M W 1:10 PM-2:30 PM / SEELYE 208,
1550244877-13042,Time/Location: M W F 10:00 AM-10:50 AM / MCCONN B15,
1550244877-13043,Time/Location: T 10:30 AM-11:50 AM / SEELYE 212,
1550244877-13044,Time/Location: T 1:00 PM-2:20 PM / SEELYE 212,
1550244877-13045,Time/Location: T 3:00 PM-4:20 PM / SEELYE 212,
1550244877-13046,Time/Location: M W F 11:00 AM-11:50 AM / SEELYE 106,
1550244877-13047,Time/Location: T Th 9:00 AM-10:20 AM / WRIGHT WEIN,
1550244877-13048,Time/Location: T Th 1:00 PM-2:50 PM / SEELYE 106,
1550244877-13049,Time/Location: W 9:00 AM-9:50 AM / SEELYE 202,
1550244877-13050,Time/Location: W 1:10 PM-2:00 PM / SEELYE 202,
1550244877-13051,Time/Location: W 2:40 PM-3:30 PM / SEELYE 202,
1550244877-13052,Time/Location: M W F 11:00 AM-12:10 PM / SAB-RD 220,
1550244877-13053,Time/Location: W 9:00 AM-9:50 AM / SEELYE 304,
1550244877-13054,Time/Location: W 1:10 PM-2:30 PM / SEELYE 304,
1550244877-13055,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 211,
1550244877-13056,Time/Location: M W 2:40 PM-4:00 PM / BURTON 219,
1550244877-13057,Time/Location: T Th 9:00 AM-10:20 AM / BURTON 209,
1550244877-13058,Time/Location: M W 1:10 PM-2:30 PM / SEELYE 102,
1550244877-13059,Time/Location: T 1:00 PM-2:50 PM / WRIGHT 002,
1550244877-13060,Time/Location: Th 1:00 PM-2:50 PM / SEELYE 310,
1550244877-13061,Time/Location: M W F 9:00 AM-9:50 AM / SEELYE 306,
1550244877-13062,Time/Location: T 7:30 PM-9:30 PM / SEELYE 110,
1550244877-13063,Time/Location: T Th 3:00 PM-4:50 PM / SEELYE 110,
1550244877-13064,Time/Location: M W F 11:00 AM-12:10 PM / HILLYR 103,
1550244877-13065,Time/Location: M W 9:00 AM-10:20 AM / SEELYE 301,
1550244877-13066,Time/Location: M W 1:10 PM-2:30 PM / BASS 203,
1550244877-13067,Time/Location: M 3:00 PM-5:30 PM / MCCONN 403,
1550244877-13068,Time/Location: T Th 1:00 PM-2:50 PM / MCCONN 404,
1550244877-13069,Time/Location: M W F 1:10 PM-2:30 PM / SEELYE 306,
1550244877-13070,Time/Location: Th 3:00 PM-5:30 PM / DEWEY 104,
1550244877-13071,Time/Location: M 3:30 PM-5:30 PM / MCCONN 104,
1550244877-13072,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 206,
1550244877-13073,Time/Location: W 4:01 PM-6:00 PM / MCCONN 104,
1550244877-13074,Time/Location: / SEELYE 202,
1550244877-13075,Time/Location: W 4:00 PM-6:00 PM / SEELYE 202,
1550244877-13076,Time/Location: T 3:00 PM-4:50 PM / FORD 015,
1550244877-13077,Time/Location: M 4:00 PM-6:00 PM / SEELYE 109,
1550244877-13078,Time/Location: W 4:01 PM-6:00 PM / MCCONN 104,
1550244877-13079,Time/Location: / SEELYE 202,
1550244877-13080,Time/Location: M 7:00 PM-8:50 PM / DEWEY 104,
1550244877-13081,Time/Location: T Th 10:30 AM-11:50 AM / BURTON B016,
1550244877-13082,Time/Location: M W F 9:00 AM-10:20 AM / BURTON B016,
1550244877-13083,Time/Location: M 1:10 PM-4:00 PM / BURTON B016,
1550244877-13084,Time/Location: T Th 9:00 AM-10:20 AM / BURTON B016,
1550244877-13085,Time/Location: T Th 10:30 AM-11:50 AM / FORD 022,
1550244877-13086,Time/Location: T Th 1:00 PM-2:20 PM / BURTON B016,
1550244877-13087,Time/Location: T Th 9:00 AM-10:20 AM / MCCONN B05,
1550244877-13088,Time/Location: T Th 10:30 AM-11:50 AM / MCCONN B05,
1550244877-13089,Time/Location: T 1:00 PM-2:50 PM / FORD 143,
1550244877-13090,Time/Location: T 3:00 PM-4:50 PM / FORD 143,
1550244877-13091,Time/Location: W 1:10 PM-4:00 PM / FORD 143,
1550244877-13092,Time/Location: W 7:00 PM-9:50 PM / FORD 143,
1550244877-13093,Time/Location: T Th 9:00 AM-10:20 AM / FORD 024,
1550244877-13094,Time/Location: M W F 11:00 AM-12:10 PM / FORD 024,
1550244877-13095,Time/Location: Th 1:00 PM-3:50 PM / FORD 024,
1550244877-13096,Time/Location: W 1:10 PM-4:00 PM / FORD 024,
1550244877-13097,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 301,
1550244877-13098,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 311,
1550244877-13099,"Time/Location: T 1:00 PM-2:20 PM / FORD 345, Th 1:00 PM-2:20 PM / FORD 143",
1550244877-13100,Time/Location: M W 8:30 AM-9:50 AM / FORD 024,
1550244877-13101,Time/Location: M 1:10 PM-4:00 PM / FORD 024,
1550244877-13102,Time/Location: T 1:00 PM-3:50 PM / FORD 024,
1550244877-13103,Time/Location: T Th 1:00 PM-2:20 PM / BASS 204,
1550244877-13104,Time/Location: T Th 10:30 AM-11:50 AM / FORD 015,
1550244877-13105,Time/Location: T Th 3:00 PM-4:20 PM / BASS 103,
1550244877-13106,Time/Location: T Th 10:30 AM-11:50 AM / SAB-RD 224,
1550244877-13107,Time/Location: F 1:10 PM-2:30 PM / FORD 240,
1550244877-13108,Time/Location: W F 2:40 PM-4:00 PM / FORD 240,
1550244877-13109,Time/Location: Th 7:30 PM-9:30 PM / SEELYE 101,
1550244877-13110,Time/Location: T 7:30 PM-9:00 PM / SEELYE 106,
1550244877-13111,Time/Location: T Th 10:30 AM-11:50 AM / HILLYR L19,
1550244877-13112,Time/Location: T Th 10:30 AM-11:50 AM / BASS 211,
1550244877-13113,Time/Location: T Th 9:00 AM-10:20 AM / SEELYE 212,
1550244877-13114,Time/Location: M W 9:00 AM-10:20 AM / FORD 015,
1550244877-13115,Time/Location: T Th 9:00 AM-10:20 AM / HILLYR L19,
1550244877-13116,Time/Location: Th 1:00 PM-4:00 PM / SAGE 216,
1550244877-13117,Time/Location: M W 9:00 AM-10:20 AM / WRIGHT 238,
1550244877-13118,Time/Location: T Th 10:30 AM-11:50 AM / WRIGHT 002,
1550244877-13119,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 105,
1550244877-13120,Time/Location: T Th 1:00 PM-2:20 PM / SEELYE 306,
1550244877-13121,Time/Location: T Th 9:00 AM-10:20 AM / SEELYE 102,
1550244877-13122,Time/Location: M W 1:10 PM-2:30 PM / SEELYE 204,
1550244877-13123,Time/Location: T Th 9:00 AM-10:20 AM / HATFLD 204,
1550244877-13124,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 301,
1550244877-13125,Time/Location: Th 1:00 PM-4:00 PM / BASS 211,
1550244877-13126,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 102,
1550244877-13127,Time/Location: T Th 9:00 AM-10:20 AM / SEELYE 101,
1550244877-13128,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 302,
1550244877-13129,Time/Location: T Th 9:00 AM-10:20 AM / MCCONN 404,
1550244877-13130,Time/Location: M W F 9:00 AM-9:50 AM / SEELYE 310,
1550244877-13131,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 304,
1550244877-13132,Time/Location: T Th 3:00 PM-4:20 PM / SEELYE 311,
1550244877-13133,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 310,
1550244877-13134,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 202,
1550244877-13135,Time/Location: M W 9:00 AM-10:20 AM / SEELYE 102,
1550244877-13136,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 106,
1550244877-13137,Time/Location: T Th 1:00 PM-2:20 PM / SEELYE 102,
1550244877-13138,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 208,
1550244877-13139,Time/Location: Th 3:00 PM-4:50 PM / HATFLD 105,
1550244877-13140,Time/Location: T 1:00 PM-4:00 PM / WRIGHT 238,
1550244877-13141,Time/Location: Th 1:00 PM-4:00 PM / FORD 015,
1550244877-13142,Time/Location: T 3:00 PM-4:50 PM / SEELYE 304,
1550244877-13143,Time/Location: Th 3:00 PM-4:50 PM / SEELYE 304,
